Component;Name
// SELECT a type of resoultion by uncomment it;
System_Resol;Systeme_ProjHomothetic
// System_Resol;Systeme_Static
// * If Optimization_Resol == %T, System_Resol is ignored *;
// * If Optimization_Resol == %T, System_Resol is ignored *;
Optimization_Resol;%T
// SystemOpt_Resol;SystemOpt_Static
SystemOpt_Resol;SystemOpt_Static_SNBC
// SystemOpt_Resol;SystemOpt_ProjHomo
// SELECT a type of study (shock in parameters) by uncomment it;
// study;Static_RunChoices
study;Recursive_RunChoices
// TELL if you want a capital dynamics;
Capital_Dynamics;%F
// SELECT option for Capital_Dynamics;
// Exogenous share of investment to GDP or unemployment;
Exo_ShareI_GDP;%F
Exo_u_tot;%F
Exo_Kstock_Adj;%F
// SELECT an aggregation sector profil by uncomment it;
AGG_type;
// AGG_type;AGG_EnComp
// SELECT an households dissagregation profil by uncomment it;
H_DISAGG;HH1
// H_DISAGG;H10
// SELECT the resolution mode;
// Resol_Mode;Static_comparative
Resol_Mode;Dynamic_projection
// SELECT the number of iteration (Default=1);
Nb_Iter;1
// SELECT a Macro framework to run;
// Macro_nb;
Macro_nb;2deg
// Macro_nb;CovidL
// SELECT which shock from the Macro framework you want to apply ;
Demographic_shift;True
Labour_product;True
World_prices;True
X_nonEnerg;True
// SELECT the scenario to run (soft_linking);
// Scenario;
// Scenario;AME
Scenario;AMS
// SELECT a carbon tax recycling option (standard = PublicDeficit); 
// Recycling_Option;PublicDeficit
Recycling_Option;LabTax
// Recycling_Option;LumpSumHH
// Recycling_Option;LabTax_LumpSumHH
// Recycling_Option;ExactRestitution
// Recycling_Option;GreenInvest
// Recycling_Option;LabTax_GreenInvest
// Recycling_Option;LabTax_PublicDeficit
// Recycling_Option;LSBasicNeed
// Recycling_Option;LSBasicNeed_Exo
// Select a closure of public finance while recycling carbon revenues;
// ClosCarbRev;CstNetLend
ClosCarbRev;AllLabTax
// ClosCarbRev;AdjTransf
// TELL if you wantto realise a carbon footprint analysis;
// CO2_footprint;True
CO2_footprint;False
// TELL if you want to create output files or prints in scilab console;
Output_prints;%F
Output_files;%T
